receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,Lao People's Democratic Republic,42,42,CROSS_ARCH_SAME_SEED_ID,0.6880402369492181,0.7443832941124816,-0.05634305716326349
GRU,Lao People's Democratic Republic,42,123,CROSS_ARCH_CROSS_SEED,1.398076525659864,1.3772470692656216,0.020829456394242385
GRU,Lao People's Democratic Republic,42,2025,CROSS_ARCH_CROSS_SEED,1.4222625849936001,1.4677863116423004,-0.0455237266487003
GRU,Lao People's Democratic Republic,123,42,CROSS_ARCH_CROSS_SEED,0.5297415793104874,0.4691264474433838,0.0606151318671036
GRU,Lao People's Democratic Republic,123,123,CROSS_ARCH_SAME_SEED_ID,0.15049924400266662,0.18636312668973948,-0.03586388268707286
GRU,Lao People's Democratic Republic,123,2025,CROSS_ARCH_CROSS_SEED,1.7485878843276932,1.6737776516113005,0.07481023271639264
GRU,Lao People's Democratic Republic,2025,42,CROSS_ARCH_CROSS_SEED,0.43212471229102134,0.44109146007071476,-0.008966747779693418
GRU,Lao People's Democratic Republic,2025,123,CROSS_ARCH_CROSS_SEED,1.0089545135351914,0.9670346628690958,0.041919850666095604
GRU,Lao People's Democratic Republic,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.6724838873331858,1.1104683052856703,-0.43798441795248455
GRU,Malaysia,42,42,CROSS_ARCH_SAME_SEED_ID,1.253299425644929,0.29483773310894623,0.9584616925359828
GRU,Malaysia,42,123,CROSS_ARCH_CROSS_SEED,1.1592771171375897,1.1251575033306715,0.03411961380691819
GRU,Malaysia,42,2025,CROSS_ARCH_CROSS_SEED,1.4817156345717122,1.0576686953078325,0.4240469392638797
GRU,Malaysia,123,42,CROSS_ARCH_CROSS_SEED,0.5784306358495157,0.8820299851884679,-0.30359934933895216
GRU,Malaysia,123,123,CROSS_ARCH_SAME_SEED_ID,0.3463524104804198,0.10767697886079984,0.23867543161961996
GRU,Malaysia,123,2025,CROSS_ARCH_CROSS_SEED,0.4729254483698476,0.7067415233302616,-0.233816074960414
GRU,Malaysia,2025,42,CROSS_ARCH_CROSS_SEED,1.7627092708085954,0.8646624678717301,0.8980468029368653
GRU,Malaysia,2025,123,CROSS_ARCH_CROSS_SEED,1.6105077501750231,0.8683367426177857,0.7421710075572374
GRU,Malaysia,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.40299675371223215,0.4395237800838567,-0.03652702637162453
GRU,Maldives,42,42,CROSS_ARCH_SAME_SEED_ID,0.3031563370108351,0.24798138073239895,0.05517495627843616
GRU,Maldives,42,123,CROSS_ARCH_CROSS_SEED,1.096886948421053,1.099626444371264,-0.002739495950210946
GRU,Maldives,42,2025,CROSS_ARCH_CROSS_SEED,1.955476130172068,1.706049586364579,0.24942654380748897
GRU,Maldives,123,42,CROSS_ARCH_CROSS_SEED,1.7903079733687561,1.802617588027621,-0.01230961465886482
GRU,Maldives,123,123,CROSS_ARCH_SAME_SEED_ID,0.34514787926680457,0.29393502932686366,0.05121284993994091
