receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,Singapore,2025,42,CROSS_ARCH_CROSS_SEED,1.2301099407894889,1.9826838635266733,-0.7525739227371844
GRU,Singapore,2025,123,CROSS_ARCH_CROSS_SEED,0.8786759936453256,0.7488597433154475,0.1298162503298781
GRU,Singapore,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.7142664202084215,0.590134673016361,0.12413174719206044
GRU,Sri Lanka,42,42,CROSS_ARCH_SAME_SEED_ID,1.2480593378284472,1.3662825757641839,-0.11822323793573664
GRU,Sri Lanka,42,123,CROSS_ARCH_CROSS_SEED,1.2877716065635236,1.4010362391416107,-0.11326463257808705
GRU,Sri Lanka,42,2025,CROSS_ARCH_CROSS_SEED,3.456163615911399,3.6443923762757415,-0.18822876036434266
GRU,Sri Lanka,123,42,CROSS_ARCH_CROSS_SEED,1.4303507409959613,1.0272428320961593,0.40310790889980197
GRU,Sri Lanka,123,123,CROSS_ARCH_SAME_SEED_ID,1.4361044397935756,0.17429675775146336,1.2618076820421122
GRU,Sri Lanka,123,2025,CROSS_ARCH_CROSS_SEED,1.4273734920568093,1.3908071378447517,0.03656635421205756
GRU,Sri Lanka,2025,42,CROSS_ARCH_CROSS_SEED,0.9293609049154525,1.0887905158719775,-0.15942961095652497
GRU,Sri Lanka,2025,123,CROSS_ARCH_CROSS_SEED,0.8287438151995412,1.511220974072336,-0.6824771588727947
GRU,Sri Lanka,2025,2025,CROSS_ARCH_SAME_SEED_ID,1.1091807030084313,1.2555626956767698,-0.1463819926683385
GRU,Switzerland,42,42,CROSS_ARCH_SAME_SEED_ID,0.503139119699041,0.32739121528396614,0.17574790441507487
