receiver_architecture,country,receiver_stratum,country_median_delta_rho,n_paired_contexts,country_direction
TRANSFORMER,New Caledonia,CROSS_ARCH_SAME_SEED_ID,0.013412676218296338,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,New Caledonia,CROSS_ARCH_CROSS_SEED,-0.1007366010073002,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,New Zealand,CROSS_ARCH_SAME_SEED_ID,0.04409858448051167,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,New Zealand,CROSS_ARCH_CROSS_SEED,0.009294305271272618,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Northern Mariana Islands,CROSS_ARCH_SAME_SEED_ID,-0.04203943571544444,3,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Northern Mariana Islands,CROSS_ARCH_CROSS_SEED,-0.09201026087263497,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Papua New Guinea,CROSS_ARCH_SAME_SEED_ID,-0.08841217899694098,3,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Papua New Guinea,CROSS_ARCH_CROSS_SEED,0.004132831521571956,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Philippines,CROSS_ARCH_SAME_SEED_ID,0.0031951240006579396,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Philippines,CROSS_ARCH_CROSS_SEED,-0.01661422082189598,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Singapore,CROSS_ARCH_SAME_SEED_ID,0.043938714318503214,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Singapore,CROSS_ARCH_CROSS_SEED,-0.006525719839781674,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Sri Lanka,CROSS_ARCH_SAME_SEED_ID,0.10332553426999064,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Sri Lanka,CROSS_ARCH_CROSS_SEED,-0.287716117150881,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Switzerland,CROSS_ARCH_SAME_SEED_ID,0.05936384737185174,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Switzerland,CROSS_ARCH_CROSS_SEED,0.09434961828888999,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Thailand,CROSS_ARCH_SAME_SEED_ID,-0.03762063690716211,3,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Thailand,CROSS_ARCH_CROSS_SEED,0.08239587783576602,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Timor-Leste,CROSS_ARCH_SAME_SEED_ID,0.012369971035566779,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Timor-Leste,CROSS_ARCH_CROSS_SEED,-0.040040013485442616,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,United Kingdom of Great Britain and Northern Ireland,CROSS_ARCH_SAME_SEED_ID,0.15369019151093988,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,United Kingdom of Great Britain and Northern Ireland,CROSS_ARCH_CROSS_SEED,0.06543971132728932,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Viet Nam,CROSS_ARCH_SAME_SEED_ID,-0.04511062718895792,3,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Viet Nam,CROSS_ARCH_CROSS_SEED,-0.004483786664807199,6,FUNCTIONAL_DIRECTIONALLY_BETTER
