receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,sender_source,P_align_sender_to_receiver,swap_mean_abs_deviation,receiver_neutral_mean_abs_deviation,swap_to_neutral_ratio,receiver_native_equivalence_error,checkpoint_hash_verified
GRU,Brunei Darussalam,42,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-0-4-1-3,1.6749858856201172,1.1506181955337524,1.4557269232502614,0.0,TRUE
GRU,Brunei Darussalam,123,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,4-2-0-3-1,1.4564679861068726,1.1506181955337524,1.2658134485968575,0.0,TRUE
GRU,Brunei Darussalam,2025,2025,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-4-3-2,1.0904382467269897,1.1506181955337524,0.9476977254137319,0.0,TRUE
GRU,Cambodia,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.19909213483333588,0.5768212080001831,0.34515397851542357,0.0,TRUE
GRU,Cambodia,123,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,3-2-4-1-0,0.7902008891105652,0.5768212080001831,1.369923432340779,0.0,TRUE
GRU,Cambodia,2025,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-3-0-4-2,0.1268623322248459,0.5768212080001831,0.21993354347124772,0.0,TRUE
GRU,Cambodia,42,42,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,0.34423667192459106,0.5768212080001831,0.5967822735194608,0.0,TRUE
GRU,Cambodia,123,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-3-4-1-0,0.20992468297481537,0.5768212080001831,0.3639337112839803,0.0,TRUE
GRU,Cambodia,2025,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-2-0-4-3,0.1694594919681549,0.5768212080001831,0.2937816599283241,0.0,TRUE
GRU,Cambodia,42,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-3-4-0-1,0.4033997654914856,0.893738865852356,0.45136200394145837,0.0,TRUE
GRU,Cambodia,123,123,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.6050084233283997,0.893738865852356,0.6769409348125474,0.0,TRUE
GRU,Cambodia,2025,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-4-1-3-0,0.869148313999176,0.893738865852356,0.9724857530619663,0.0,TRUE
GRU,Cambodia,42,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-0-3-4-1,1.083316445350647,0.893738865852356,1.212117416777541,0.0,TRUE
GRU,Cambodia,123,123,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,0.10704616457223892,0.893738865852356,0.11977342450039848,0.0,TRUE
GRU,Cambodia,2025,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-4-2-1-3,0.9364794492721558,0.893738865852356,1.0478222275575295,0.0,TRUE
GRU,Cambodia,42,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-0-3-1-4,0.7580570578575134,0.2666439116001129,2.842956560712232,0.0,TRUE
GRU,Cambodia,123,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-3-1-4-2,0.5160632729530334,0.2666439116001129,1.9354024243650305,0.0,TRUE
GRU,Cambodia,2025,2025,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.7873560190200806,0.2666439116001129,2.9528370413380447,0.0,TRUE
GRU,Cambodia,42,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-0-3-1-4,0.7064133286476135,0.2666439116001129,2.649276049126615,0.0,TRUE
GRU,Cambodia,123,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-3-2-1-4,1.0536091327667236,0.2666439116001129,3.9513714243242353,0.0,TRUE
GRU,Cambodia,2025,2025,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-4-3,1.833793044090271,0.2666439116001129,6.877310766579282,0.0,TRUE
GRU,China,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,5.680262088775635,13.61028003692627,0.41735086077321143,0.0,TRUE
GRU,China,123,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-0-4-3-1,11.1243257522583,13.61028003692627,0.8173473082167827,0.0,TRUE
GRU,China,2025,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-3-4-0-1,7.914434909820557,13.61028003692627,0.581504193032603,0.0,TRUE
GRU,China,42,42,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,4.233394622802734,13.61028003692627,0.311043902940795,0.0,TRUE
GRU,China,123,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-0-4-3-1,12.878653526306152,13.61028003692627,0.9462445659725495,0.0,TRUE
GRU,China,2025,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-4-0-3-1,11.699905395507812,13.61028003692627,0.8596373743791171,0.0,TRUE
GRU,China,42,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-4-3-1-2,11.222060203552246,17.64737319946289,0.6359054164442897,0.0,TRUE
GRU,China,123,123,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,4.939593315124512,17.64737319946289,0.2799053014459314,0.0,TRUE
GRU,China,2025,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-1-2-3-4,18.061717987060547,17.64737319946289,1.0234791196918909,0.0,TRUE
GRU,China,42,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-4-3-1-2,11.455596923828125,17.64737319946289,0.649138928176392,0.0,TRUE
GRU,China,123,123,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,5.397036552429199,17.64737319946289,0.30582662311428094,0.0,TRUE
GRU,China,2025,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-1-2-3-4,17.451032638549805,17.64737319946289,0.9888742330830822,0.0,TRUE
GRU,China,42,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-4-3-2-0,4.7671380043029785,3.4924519062042236,1.3649831500426155,0.0,TRUE
GRU,China,123,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-1-2-3-4,4.71144962310791,3.4924519062042236,1.3490377962651907,0.0,TRUE
GRU,China,2025,2025,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,2.921135663986206,3.4924519062042236,0.8364139986571917,0.0,TRUE
GRU,China,42,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-3-0-2-4,4.559950828552246,3.4924519062042236,1.3056588754884917,0.0,TRUE
GRU,China,123,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-1-2-3-4,6.1340436935424805,3.4924519062042236,1.7563717005366797,0.0,TRUE
GRU,China,2025,2025,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,0.7320093512535095,3.4924519062042236,0.20959754662709013,0.0,TRUE
GRU,Fiji,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,2.5037198066711426,4.9573893547058105,0.5050480459628377,0.0,TRUE
GRU,Fiji,123,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,3-0-4-1-2,7.316901683807373,4.9573893547058105,1.475958646835313,0.0,TRUE
GRU,Fiji,2025,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-3-0-4-2,8.196633338928223,4.9573893547058105,1.6534173034336215,0.0,TRUE
GRU,Fiji,42,42,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,2.214395761489868,4.9573893547058105,0.4466858669044926,0.0,TRUE
GRU,Fiji,123,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-3-4-1-0,2.5659501552581787,4.9573893547058105,0.5176010943789287,0.0,TRUE
GRU,Fiji,2025,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-3-0-4-2,5.721871852874756,4.9573893547058105,1.1542107031482727,0.0,TRUE
GRU,Fiji,42,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,4-3-0-1-2,0.9391190409660339,3.1473915576934814,0.29838011056185626,0.0,TRUE
GRU,Fiji,123,123,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,4.989437580108643,3.1473915576934814,1.5852611563097274,0.0,TRUE
GRU,Fiji,2025,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-4-1-3-2,3.602618455886841,3.1473915576934814,1.1446362455540695,0.0,TRUE
GRU,Fiji,42,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,4-3-0-1-2,1.0636975765228271,3.1473915576934814,0.3379616285500689,0.0,TRUE
GRU,Fiji,123,123,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,1.7602856159210205,3.1473915576934814,0.5592839605921226,0.0,TRUE
GRU,Fiji,2025,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-4-1-3-2,3.7939860820770264,3.1473915576934814,1.2054382216292758,0.0,TRUE
GRU,Fiji,42,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-0-4-1-3,1.329099416732788,1.8214231729507446,0.7297038033065202,0.0,TRUE
GRU,Fiji,123,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,4-3-2-0-1,2.0526795387268066,1.8214231729507446,1.126964655556359,0.0,TRUE
GRU,Fiji,2025,2025,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.3591434061527252,1.8214231729507446,0.1971773564135045,0.0,TRUE
GRU,Fiji,42,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-0-4-1-3,1.3526594638824463,1.8214231729507446,0.7426387694909519,0.0,TRUE
GRU,Fiji,123,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-2-4-3-1,2.6008667945861816,1.8214231729507446,1.4279310998183479,0.0,TRUE
GRU,Fiji,2025,2025,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,0.2016524225473404,1.8214231729507446,0.11071146208196042,0.0,TRUE
GRU,French Polynesia,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,1.335389256477356,2.810231924057007,0.47518827362458893,0.0,TRUE
GRU,French Polynesia,123,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-4-0-1-3,6.22881555557251,2.810231924057007,2.2164774025412983,0.0,TRUE
GRU,French Polynesia,2025,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-3-0-4-1,2.9603521823883057,2.810231924057007,1.0534191705126519,0.0,TRUE
GRU,French Polynesia,42,42,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,2.8189353942871094,2.810231924057007,1.0030970647495663,0.0,TRUE
GRU,French Polynesia,123,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,3-4-2-1-0,17.50311851501465,2.810231924057007,6.2283537401945726,0.0,TRUE
GRU,French Polynesia,2025,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-3-4-2-0,4.052702903747559,2.810231924057007,1.4421240001774842,0.0,TRUE
